last_name, first_name,player_id,year,b_total_pa,b_home_run,barrel,barrel_batted_rate,
Farmer, Kyle,571657,2021,529,16,17,4.3,
Haniger, Mitch,571745,2021,691,39,58,12.6,
Hernandez, Enrique,571771,2021,585,20,34,8.4,
Muncy, Max,571970,2021,592,36,61,16.1,
Seager, Kyle,572122,2021,670,35,55,12.3,
Taylor, Michael A.,572191,2021,528,12,23,6.6,
Yastrzemski, Mike,573262,2021,532,25,35,10.3,
Iglesias, Jose,578428,2021,511,9,14,3.4,
Bryant, Kris,592178,2021,586,25,39,10.3,
Canha, Mark,592192,2021,625,17,28,7.1,
Castellanos, Nick,592206,2021,585,34,44,10.6,
Judge, Aaron,592450,2021,633,39,70,17.6,
Machado, Manny,592518,2021,640,28,63,13.3,
Realmuto, J.T.,592663,2021,537,17,30,8.6,
Renfroe, Hunter,592669,2021,572,31,57,14.4,
Merrifield, Whit,593160,2021,720,10,20,3.5,
Bogaerts, Xander,593428,2021,603,23,41,9.7,
Polanco, Jorge,593871,2021,644,33,48,10.1,
Sano, Miguel,593934,2021,532,30,51,17.7,
Duvall, Adam,594807,2021,555,38,55,16.1,
Baez, Javier,595879,2021,547,31,43,13.4,
Lindor, Francisco,596019,2021,524,20,30,8.2,
Story, Trevor,596115,2021,595,24,39,9.9,
Candelario, Jeimer,600869,2021,626,16,38,9,
Bell, Josh,605137,2021,568,27,35,8.8,
Betts, Mookie,605141,2021,550,23,30,7.8,
Tapia, Raimel,606132,2021,533,6,9,2.1,
Hernandez, Teoscar,606192,2021,595,32,56,13.9,
Turner, Trea,607208,2021,646,28,36,7.4,
Ramirez, Jose,608070,2021,636,36,52,11.1,
Gallo, Joey,608336,2021,616,38,53,18.5,
Swanson, Dansby,621020,2021,653,27,49,11.4,
Newman, Kevin,621028,2021,554,5,8,1.6,
Taylor, Chris,621035,2021,582,20,35,10.2,
Correa, Carlos,621043,2021,640,26,42,9.4,
Olson, Matt,621566,2021,673,39,59,12.7,
Alonso, Pete,624413,2021,637,37,65,14.8,
Frazier, Adam,624428,2021,639,5,5,1,
Soler, Jorge,624585,2021,602,27,48,12.7,
Cronenworth, Jake,630105,2021,643,21,35,7.2,
Meadows, Austin,640457,2021,591,27,35,8.7,
Anderson, Tim,641313,2021,551,17,32,7.8,
Crawford, J.P.,641487,2021,687,9,12,2.4,
Dozier, Hunter,641531,2021,543,16,30,8.8,
Mancini III, Trey,641820,2021,616,21,43,10.4,
McMahon, Ryan,641857,2021,596,23,28,7.3,
O'Neill, Tyler,641933,2021,537,34,57,17.9,
Rosario, Amed,642708,2021,588,11,12,2.8,
Adames, Willy,642715,2021,555,25,39,11.4,
Benintendi, Andrew,643217,2021,538,17,36,8.9,
Kiner-Falefa, Isiah,643396,2021,677,8,10,1.8,
Albies, Ozzie,645277,2021,686,30,47,9.3,
Devers, Rafael,646240,2021,664,38,68,15,
Urias, Luis,649966,2021,570,23,35,9.3,
Torres, Gleyber,650402,2021,516,9,28,7.8,
Diaz, Yandy,650490,2021,541,13,27,7,
Chapman, Matt,656305,2021,622,27,46,13.7,
Mullins II, Cedric,656775,2021,675,30,39,8.1,
Smith, Pavin,656976,2021,545,11,20,5.1,
Verdugo, Alex,657077,2021,604,13,33,7.3,
Moncada, Yoan,660162,2021,616,14,30,8.2,
Ohtani, Shohei,660271,2021,639,46,78,22.3,
Riley, Austin,663586,2021,662,33,57,13.3,
Mountcastle, Ryan,663624,2021,586,33,45,11.8,
Tucker, Kyle,663656,2021,567,30,49,11.6,
India, Jonathan,663697,2021,631,21,38,9.6,
Grisham, Trent,663757,2021,527,15,18,5.2,
Lowe, Nathaniel,663993,2021,642,18,38,9.5,
Happ, Ian,664023,2021,535,25,34,10.9,
France, Ty,664034,2021,650,18,32,6.8,
Lowe, Brandon,664040,2021,615,39,52,14,
Fletcher, David,664058,2021,665,2,0,0,
Straw, Myles,664702,2021,638,4,6,1.3,
Walsh, Jared,665120,2021,585,29,43,11.3,
Tatis Jr., Fernando,665487,2021,546,42,70,21.3,
Guerrero Jr., Vladimir,665489,2021,698,48,75,15.1,
Soto, Juan,665742,2021,654,29,55,13.3,
Chisholm Jr., Jazz,665862,2021,507,18,29,9,
Bichette, Bo,666182,2021,690,29,50,9.9,
Carlson, Dylan,666185,2021,619,18,28,7,
Garcia, Adolis,666969,2021,622,31,45,11.5,
Gurriel Jr., Lourdes,666971,2021,541,21,39,9.6,
Arozarena, Randy,668227,2021,604,20,30,8.2,
Reynolds, Bryan,668804,2021,646,24,46,10.4,
Rojas, Josh,668942,2021,550,11,17,4.8,
Edman, Tommy,669242,2021,691,11,23,4.2,
Solak, Nick,669256,2021,511,11,23,6.5,
Hays, Austin,669720,2021,529,22,35,9.1,
Lopez, Nicky,670032,2021,565,2,3,0.7,
Alvarez, Yordan,670541,2021,598,33,63,15.9,
